sci_name,body mass
Trinomys eliasi,
Trinomys dimidiatus,
Trinomys albispinus,
Trichosurus cunninghami,
Triaenops persicus,
Triaenops menamena,
Triaenops afer,
Tremarctos ornatus,
Transandinomys talamancae,
Transandinomys bolivaris,
Tragulus williamsoni,
Tragulus versicolor,
Tragulus nigricans,
Tragulus napu,
Tragulus kanchil,
Tragelaphus strepsiceros,
Tragelaphus scriptus,
Tragelaphus oryx,
Tragelaphus imberbis,
Tragelaphus derbianus,
Tragelaphus buxtoni,
Tragelaphus angasii,
Trachypithecus shortridgei,
Trachypithecus selangorensis,
Trachypithecus popa,
Trachypithecus poliocephalus,
Trachypithecus pileatus,
Trachypithecus phayrei,
Trachypithecus obscurus,
Trachypithecus mauritius,
Trachypithecus margarita,
Trachypithecus leucocephalus,
Trachypithecus laotum,
Trachypithecus hatinhensis,
Trachypithecus germaini,
Trachypithecus geei,
Trachypithecus delacouri,
Trachypithecus cristatus,
Trachypithecus crepusculus,
Trachypithecus barbei,
Trachypithecus auratus,
Trachops cirrhosus,
Toromys rhipidurus,
Toromys grandis,
Tonkinomys daovantieni,
Tonatia saurophila,
Tonatia bidens,
Tomopeas ravus,
Tolypeutes tricinctus,
Tokudaia tokunoshimensis,
Tokudaia osimensis,
Tokudaia muenninki,
Tlacuatzin canescens,
Thyroptera wynneae,
Thyroptera tricolor,
Thyroptera lavali,
Thyroptera discifera,
Thyroptera devivoi,
Thylogale lanatus,
Thylogale calabyi,
Thylogale billardierii,
Thylamys venustus,
Thylamys velutinus,
Thylamys tatei,
Thylamys pusillus,
Thylamys pulchellus,
Thylamys macrurus,
Thylamys karimii,
Thylamys fenestrae,
Thylamys citellus,
Thylamys cinderella,
Thryonomys gregorianus,
Thrichomys pachyurus,
Thrichomys laurentius,
Thrichomys inermis,
Thrichomys apereoides,
Thoopterus suhaniahae,
Thoopterus nigrescens,
Thomomys umbrinus,
Thomomys townsendii,
Thomomys talpoides,
Thomomys monticola,
Thomomys mazama,
Thomomys idahoensis,
Thomomys clusius,
Thomomys bulbivorus,
Thomomys bottae,
Thomasomys vulcani,
Thomasomys vestitus,
Thomasomys ucucha,
Thomasomys taczanowskii,
Thomasomys silvestris,
Thomasomys rosalinda,
Thomasomys pyrrhonotus,
Thomasomys princeps,
Thomasomys praetor,
Thomasomys popayanus,
Thomasomys paramorum,
Thomasomys oreas,
Thomasomys onkiro,
Thomasomys notatus,
Thomasomys niveipes,
Thomasomys nicefori,
Thomasomys monochromos,
Thomasomys macrotis,
Thomasomys laniger,
Thomasomys ladewi,
